,zn,E_HFB,E_PNP,E_PNPAMP
0,"[82, 134]",1651.41064683,1652.07718263,1654.05130452
1,"[54, 66]",1003.73810537,1005.15118117,1008.12374071
2,"[88, 168]",1806.07084821,1807.04106389,1809.54390038
3,"[74, 84]",1236.61786808,1238.34624557,1240.79579434
4,"[58, 104]",1262.73100981,1264.30669298,1267.03197105
5,"[88, 122]",1610.83462277,1612.37515727,1614.95450528
6,"[74, 180]",1574.54265783,1576.38708887,1578.73704436
7,"[98, 184]",1957.22375394,1958.58443819,1960.56965252
8,"[90, 156]",1795.8087707,1797.36703723,1799.84746343
9,"[58, 78]",1132.67507057,1134.25124546,1136.76205899
10,"[66, 78]",1161.62324325,1163.18776942,1166.001763
11,"[38, 76]",868.03132533,869.21984801,871.98399343
12,"[20, 16]",281.87508466,282.59262885,284.48376682
13,"[90, 146]",1758.17310918,1759.41212308,1761.72771068
14,"[90, 176]",1847.7368844,1849.22598411,1851.60603896
15,"[96, 144]",1782.71917637,1783.95875,1786.45110295
16,"[80, 180]",1700.70204282,1702.11682445,1704.14447283
17,"[54, 102]",1196.49221637,1197.86590946,1200.56046326
18,"[94, 136]",1724.5181146,1725.67973364,1728.13256933
19,"[78, 176]",1660.5086755,1661.82534186,1664.30837292
20,"[72, 118]",1482.46046618,1483.90995721,1486.61527774
21,"[84, 150]",1716.31180971,1718.13375313,1720.51421202
22,"[98, 148]",1816.02620487,1816.66183562,1819.11551444
23,"[24, 30]",472.02106101,472.68495609,474.88722323
24,"[68, 134]",1468.9752685,1470.89587989,1473.11500736
25,"[96, 132]",1698.05896094,1699.80792242,1702.54576727
26,"[104, 192]",2026.37961717,2028.3914733,2033.10632209
27,"[78, 142]",1624.6708024,1626.29967839,1628.63960239
28,"[96, 154]",1835.76373648,1837.11420802,1839.65120428
29,"[26, 32]",507.29453069,507.83366617,510.69194879
30,"[78, 102]",1414.92176133,1416.47896575,1419.32824146
31,"[84, 152]",1721.56189439,1723.15826304,1725.62096428
32,"[18, 22]",342.85797332,343.76445914,346.13698823
33,"[88, 152]",1763.7107861,1765.15180204,1767.6275938
34,"[66, 104]",1360.22941318,1361.2332519,1363.97554662
35,"[72, 142]",1541.290957,1542.86268735,1545.296278
36,"[72, 106]",1419.78050482,1421.17316475,1424.26909994
37,"[34, 60]",762.08016861,762.78940428,765.7109749
38,"[56, 104]",1232.76755823,1234.15212896,1236.97469929
39,"[104, 152]",1861.80157029,1862.41007633,1865.02282444
40,"[32, 76]",731.08605571,732.74400568,735.66901717
41,"[36, 62]",799.47494808,800.45833811,803.23768601
42,"[44, 56]",858.52842871,860.35403976,862.66336027
43,"[74, 154]",1585.44942517,1586.90062339,1589.52535359
44,"[82, 104]",1440.87434059,1441.51128556,1444.45173774
45,"[32, 38]",605.97447008,607.71041632,610.47883346
46,"[100, 150]",1835.9828786,1837.04935781,1839.57393515
47,"[32, 72]",732.6261144,734.13399147,737.13444863
48,"[86, 196]",1790.57135045,1791.87773096,1793.88059618
49,"[26, 42]",568.7271346,569.54919538,572.22120802
50,"[36, 60]",793.40929461,794.41849005,796.9637219
51,"[18, 28]",384.20107634,384.52682221,387.33298265
52,"[28, 50]",639.67219304,639.67219294,642.19053785
53,"[80, 92]",1319.91514957,1321.17012346,1323.50297496
54,"[106, 164]",1939.84675254,1940.81200552,1943.54957083
55,"[86, 140]",1701.81677465,1702.84041949,1705.36647918
56,"[84, 170]",1756.75241287,1757.49056861,1759.95605926
57,"[74, 176]",1578.15280914,1579.93679607,1582.38886499
58,"[56, 100]",1223.32371678,1224.79113025,1227.51680569
59,"[64, 130]",1402.85723394,1404.70831111,1407.09587143
60,"[50, 98]",1121.96734434,1122.69935787,1125.24037253
61,"[24, 48]",550.03018515,551.22175201,553.23429265
62,"[60, 128]",1332.02684695,1333.5609062,1335.63780667
63,"[40, 76]",907.87110227,908.27496573,910.85459605
64,"[100, 148]",1823.09614759,1824.27360629,1826.8260314
65,"[36, 72]",819.99644814,821.44546308,824.25357021
66,"[102, 172]",1950.79901372,1952.47852972,1954.77321679
67,"[86, 184]",1806.39711744,1807.33146829,1808.70193951
68,"[82, 128]",1632.41837799,1632.72813261,1634.28449599
69,"[88, 150]",1757.15545646,1758.69306363,1761.14183477
70,"[34, 52]",733.14840056,734.51621658,736.67645573
71,"[108, 174]",1996.14819726,1997.48548722,2000.16873475
72,"[22, 52]",503.70028986,504.78791621,506.83197747
73,"[110, 172]",1995.86288565,1997.39558349,2000.23826761
74,"[108, 176]",2005.6571453,2007.37464005,2009.88859924
75,"[20, 20]",344.11062895,344.11063028,346.36663143
76,"[66, 126]",1435.27383862,1436.64100708,1438.61536993
77,"[48, 102]",1084.32914954,1085.77145298,1088.29488095
78,"[106, 178]",2003.06409132,2004.41097792,2006.76898632
79,"[52, 58]",916.99288472,917.70334728,920.10132981
